City,Latitude,Longitude,Restaurant_Count,Province
Grimbergen,50.9363515,4.3633877,7,Vlaams Gewest
Gand,51.0499922,3.7303853,7,Vlaams Gewest
Bilzen,50.8723874,5.5141443,7,Vlaams Gewest
Zottegem,50.8694877,3.8104565,6,Vlaams Gewest
Zele,51.0685806,4.0397802,6,Vlaams Gewest
Wemmel,50.90900629999999,4.3068726,6,Vlaams Gewest
Waremme,50.6980242,5.260365999999999,6,Région Wallonne
Tongeren,50.78220719999999,5.4607492,6,Vlaams Gewest
Putte,51.0548325,4.6287004,6,Vlaams Gewest
Maastricht,50.503887,4.469936,6,Région Wallonne
Leeuw-Saint-Pierre,50.7812959,4.2458165,6,Vlaams Gewest
Kalmthout,51.37918,4.4749,6,Vlaams Gewest
Izegem,50.9180566,3.2132491,6,Vlaams Gewest
Herent,50.9065243,4.669804,6,Vlaams Gewest
Erpe-Mere,50.9270256,3.9572981,6,Vlaams Gewest
Braine-l'Alleud,50.6852876,4.3752475,6,Région Wallonne
Berchem-Sainte-Agathe,50.8644399,4.297447,6,Bruxelles
Alost,50.9460841,4.0502929,6,Vlaams Gewest
Woluwé-Saint-Lambert,50.8415257,4.4337046,5,Bruxelles
Wevelgem,50.808847,3.1837075,5,Vlaams Gewest
Westerlo,51.0899291,4.9143336,5,Vlaams Gewest
Wachtebeke,51.16915729999999,3.858440899999999,5,Vlaams Gewest
Strombeek-Bever,50.9095358,4.3546661,5,Vlaams Gewest
Sint-Katelijne-Waver,51.07036670000001,4.5313672,5,Vlaams Gewest
Ronse,50.7498634,3.6039574,5,Vlaams Gewest
Oostkamp,51.1545991,3.235562,5,Vlaams Gewest
Neerpelt,51.22723999999999,5.43173,5,Vlaams Gewest
Malines,51.0279827,4.4793443,5,Vlaams Gewest
Leopoldsburg,51.1161316,5.258765299999999,5,Vlaams Gewest
Kampenhout,50.9406267,4.557150099999999,5,Vlaams Gewest
Heverlee,50.86260720000001,4.6958889,5,Vlaams Gewest
Hannut,50.6721248,5.0778474,5,Région Wallonne
Halle,50.7340969,4.2296554,5,Vlaams Gewest
Duffel,51.0950469,4.5045725,5,Vlaams Gewest
Diepenbeek,50.909164,5.4191575,5,Vlaams Gewest
Denderleeuw,50.89571429999999,4.0600795,5,Vlaams Gewest
Bree,51.1399117,5.5965832,5,Vlaams Gewest
Zemst,50.9851089,4.4649059,4,Vlaams Gewest
Wuustwezel,51.3892398,4.5907068,4,Vlaams Gewest
Woluwé-Saint-Pierre,50.83302399999999,4.431729,4,Brussel
Tessenderlo,51.0673638,5.0955631,4,Vlaams Gewest
Stabroek,51.33228769999999,4.365715,4,Vlaams Gewest
Sint-Gillis-Waas,51.2252681,4.1160228,4,Vlaams Gewest
Peer,51.1311458,5.4585013,4,Vlaams Gewest
Nieuwpoort,51.1284445,2.7480108,4,Vlaams Gewest
Niel,51.1106688,4.332044799999999,4,Vlaams Gewest
Merelbeke,50.9958506,3.7454951,4,Vlaams Gewest
Merchtem,50.9574454,4.232112,4,Vlaams Gewest
Louvain,50.8791453,4.7024648,4,Vlaams Gewest
Londerzeel,51.0028752,4.2952604,4,Vlaams Gewest
Lessines,50.7124107,3.8250451,4,Région Wallonne
La Hulpe,50.73040229999999,4.482127699999999,4,Région Wallonne
Kuurne,50.8540688,3.2872085,4,Vlaams Gewest
Koksijde,51.1054198,2.6501728,4,Vlaams Gewest
Hoogstraten,51.40471849999999,4.7627454,4,Vlaams Gewest
Hemiksem,51.1452022,4.3382833,4,Vlaams Gewest
Haacht,50.9770626,4.6341242,4,Vlaams Gewest
Groot-Bijgaarden,50.8719066,4.2500012,4,Vlaams Gewest
Genval,50.7211,4.49388,4,Région Wallonne
Evergem,51.1107692,3.699309,4,Vlaams Gewest
Essen,51.4633827,4.4618515,4,Vlaams Gewest
Enghien,50.6917007,4.0338475,4,Région Wallonne
Edegem,51.1560818,4.4312048,4,Vlaams Gewest
Diegem,50.8940397,4.4362628,4,Vlaams Gewest
Buggenhout,51.0136488,4.201817900000001,4,Vlaams Gewest
Bredene,51.2465502,2.9578687,4,Vlaams Gewest
Balen,51.170373,5.1677219,4,Vlaams Gewest
Aartselaar,51.1379437,4.3781943,4,Vlaams Gewest
Aalter,51.0873719,3.4483399,4,Vlaams Gewest
Zulte,50.9220409,3.4439076,3,Vlaams Gewest
Zoersel,51.2703297,4.7137306,3,Vlaams Gewest
Zandhoven,51.2134425,4.656266899999999,3,Vlaams Gewest
Wommelgem,51.20309899999999,4.5225617,3,Vlaams Gewest
Wolvertem,50.95088,4.30927,3,Vlaams Gewest
