City,Latitude,Longitude,Restaurant_Count,Province
Berchem-Sainte-Agathe,50.8644399,4.297447,6,Brussel
Alost,50.9460841,4.0502929,6,Flanders
Woluwé-Saint-Lambert,50.8415257,4.4337046,5,Brussel
Wevelgem,50.808847,3.1837075,5,Flanders
Westerlo,51.0899291,4.9143336,5,Flanders
Wachtebeke,51.16915729999999,3.858440899999999,5,Flanders
Strombeek-Bever,50.9095358,4.3546661,5,Flanders
Sint-Katelijne-Waver,51.07036670000001,4.5313672,5,Flanders
Ronse,50.7498634,3.6039574,5,Flanders
Oostkamp,51.1545991,3.235562,5,Flanders
Neerpelt,51.22723999999999,5.43173,5,Flanders
Malines,51.0279827,4.4793443,5,Flanders
Leopoldsburg,51.1161316,5.258765299999999,5,Flanders
Kampenhout,50.9406267,4.557150099999999,5,Flanders
Heverlee,50.86260720000001,4.6958889,5,Flanders
Hannut,50.6721248,5.0778474,5,Wallonia
Halle,50.7340969,4.2296554,5,Flanders
Duffel,51.0950469,4.5045725,5,Flanders
Diepenbeek,50.909164,5.4191575,5,Flanders
Denderleeuw,50.89571429999999,4.0600795,5,Flanders
Bree,51.1399117,5.5965832,5,Flanders
Zemst,50.9851089,4.4649059,4,Flanders
Wuustwezel,51.3892398,4.5907068,4,Flanders
Woluwé-Saint-Pierre,50.83302399999999,4.431729,4,Brussel
Tessenderlo,51.0673638,5.0955631,4,Flanders
Stabroek,51.33228769999999,4.365715,4,Flanders
Sint-Gillis-Waas,51.2252681,4.1160228,4,Flanders
Peer,51.1311458,5.4585013,4,Flanders
Nieuwpoort,51.1284445,2.7480108,4,Flanders
Niel,51.1106688,4.332044799999999,4,Flanders
Merelbeke,50.9958506,3.7454951,4,Flanders
Merchtem,50.9574454,4.232112,4,Flanders
Louvain,50.8791453,4.7024648,4,Flanders
Londerzeel,51.0028752,4.2952604,4,Flanders
Lessines,50.7124107,3.8250451,4,Wallonia
La Hulpe,50.73040229999999,4.482127699999999,4,Wallonia
Kuurne,50.8540688,3.2872085,4,Flanders
Koksijde,51.1054198,2.6501728,4,Flanders
Hoogstraten,51.40471849999999,4.7627454,4,Flanders
Hemiksem,51.1452022,4.3382833,4,Flanders
Haacht,50.9770626,4.6341242,4,Flanders
Groot-Bijgaarden,50.8719066,4.2500012,4,Flanders
Genval,50.7211,4.49388,4,Wallonia
Evergem,51.1107692,3.699309,4,Flanders
Essen,51.4633827,4.4618515,4,Flanders
Enghien,50.6917007,4.0338475,4,Wallonia
Edegem,51.1560818,4.4312048,4,Flanders
Diegem,50.8940397,4.4362628,4,Flanders
Buggenhout,51.0136488,4.201817900000001,4,Flanders
Bredene,51.2465502,2.9578687,4,Flanders
Balen,51.170373,5.1677219,4,Flanders
Aartselaar,51.1379437,4.3781943,4,Flanders
Aalter,51.0873719,3.4483399,4,Flanders
Zulte,50.9220409,3.4439076,3,Flanders
Zoersel,51.2703297,4.7137306,3,Flanders
Zandhoven,51.2134425,4.656266899999999,3,Flanders
Wommelgem,51.20309899999999,4.5225617,3,Flanders
Wolvertem,50.95088,4.30927,3,Flanders
Watermael-Boitsfort,50.7966762,4.417794,3,Brussel
Vosselaar,51.3131256,4.888201,3,Flanders
Tremelo,50.9911852,4.7036654,3,Flanders
Sint-Pieters-Leeuw,50.7812959,4.2458165,3,Flanders
Sint-Lievens-Houtem,50.9202407,3.859262,3,Flanders
Scherpenheuvel-Zichem,50.9800833,4.9753544,3,Flanders
Schaarbeek,50.8643377,4.3735116,3,Brussel
Rumst,51.10112179999999,4.4126516,3,Flanders
Riemst,50.81177539999999,5.5951168,3,Flanders
Ranst,51.1878447,4.5639057,3,Flanders
Poperinge,50.8558252,2.7254617,3,Flanders
Pelt,51.2284094,5.4342882,3,Flanders
Overpelt,51.1970553,5.3970123,3,Flanders
Oud-Turnhout,51.3178814,4.9822136,3,Flanders
Opwijk,50.9696888,4.1800803,3,Flanders
Oostduinkerke,51.1172798,2.6901458,3,Flanders
Middelkerke,51.1851395,2.8207939,3,Flanders
Menin,50.79683439999999,3.126679,3,Flanders
